City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
187,Margate,51.3813,1.3862,41.88,78,33,5.01,GB,2022-01-30 03:11:06,scattered clouds
188,Celestun,20.8667,-90.4,66.85,64,99,13.29,MX,2022-01-30 03:11:07,overcast clouds
189,Northam,51.0333,-4.2167,40.71,84,63,5.21,GB,2022-01-30 03:11:07,broken clouds
190,Ribeira Grande,38.5167,-28.7,59.2,74,88,12.37,PT,2022-01-30 03:11:08,overcast clouds
191,Burnie,-41.0667,145.9167,73.94,60,12,7.9,AU,2022-01-30 03:11:08,few clouds
192,Camacha,33.0833,-16.3333,59.76,88,40,3.44,PT,2022-01-30 03:11:09,scattered clouds
193,Vila Velha,-20.3297,-40.2925,78.75,89,0,3.44,BR,2022-01-30 03:10:13,clear sky
194,Qaqortoq,60.7167,-46.0333,14.5,90,100,14.65,GL,2022-01-30 03:11:10,light snow
195,Alugan,12.2188,125.4808,83.12,73,10,6.91,PH,2022-01-30 03:11:10,clear sky
196,Xiuyan,40.2928,123.2744,28.04,26,0,4.99,CN,2022-01-30 03:11:11,clear sky
197,Sibolga,1.7427,98.7792,82.4,73,76,2.01,ID,2022-01-30 03:11:11,broken clouds
198,Nantucket,41.2835,-70.0995,21.31,79,100,20.71,US,2022-01-30 03:11:11,overcast clouds
199,Sao Pedro Do Sul,-29.6206,-54.1789,66.36,65,0,9.28,BR,2022-01-30 03:11:12,clear sky
200,Klos,41.5072,20.0851,23.95,71,13,5.97,AL,2022-01-30 03:11:12,few clouds
201,Utena,55.5,25.6,34.77,98,100,21.09,LT,2022-01-30 03:11:13,overcast clouds
202,Nakhon Phanom,17.3333,104.4167,86.88,48,18,10.51,TH,2022-01-30 03:11:13,few clouds
203,Mus,39.0,41.75,3.69,98,100,4.03,TR,2022-01-30 03:11:13,overcast clouds
204,Tuktoyaktuk,69.4541,-133.0374,-6.07,96,100,16.24,CA,2022-01-30 03:11:02,overcast clouds
205,Airai,-8.9266,125.4092,65.19,82,100,4.36,TL,2022-01-30 03:11:14,overcast clouds
206,Muros,42.7762,-9.0603,51.24,61,14,5.28,ES,2022-01-30 03:10:34,few clouds
207,Darhan,49.4867,105.9228,-7.85,95,63,2.01,MN,2022-01-30 03:11:15,broken clouds
208,Narathiwat,6.3333,101.75,84.69,59,9,2.93,TH,2022-01-30 03:11:16,clear sky
209,Banjar,-8.19,114.9675,84.06,73,100,2.46,ID,2022-01-30 03:11:16,overcast clouds
210,Myrtle Beach,33.6891,-78.8867,29.08,65,0,4.61,US,2022-01-30 03:11:16,clear sky
211,Yeppoon,-23.1333,150.7333,87.58,70,43,15.66,AU,2022-01-30 03:11:17,scattered clouds
212,Sumbe,-11.2061,13.8437,77.07,88,100,5.08,AO,2022-01-30 03:11:17,overcast clouds
213,Nouadhibou,20.931,-17.0347,62.85,80,100,20.33,MR,2022-01-30 03:11:17,overcast clouds
214,Komsomolskiy,40.4272,71.7189,32.72,93,40,2.3,UZ,2022-01-30 03:11:18,fog
215,Bathsheba,13.2167,-59.5167,76.26,73,14,15.86,BB,2022-01-30 03:11:18,few clouds
216,Huilong,31.8111,121.655,43.03,55,74,13.89,CN,2022-01-30 03:11:19,broken clouds
217,Aswan,24.0934,32.907,47.62,54,0,9.33,EG,2022-01-30 03:11:19,clear sky
218,Yar-Sale,66.8333,70.8333,-8.43,98,93,8.72,RU,2022-01-30 03:10:53,overcast clouds
219,Verkhnevilyuysk,63.4453,120.3167,-15.36,98,87,5.23,RU,2022-01-30 03:11:20,overcast clouds
220,Porbandar,21.6422,69.6093,66.0,45,0,6.29,IN,2022-01-30 03:11:20,clear sky
221,Pangnirtung,66.1451,-65.7125,-20.22,99,100,4.27,CA,2022-01-30 03:11:20,overcast clouds
222,Colac,-38.3333,143.5833,76.15,77,97,7.45,AU,2022-01-30 03:08:15,overcast clouds
223,Nome,64.5011,-165.4064,-2.13,55,0,3.44,US,2022-01-30 03:11:21,clear sky
224,Polunochnoye,60.8697,60.4153,-2.51,100,100,2.08,RU,2022-01-30 03:11:21,overcast clouds
225,Marshfield,44.6689,-90.1718,19.13,67,100,5.75,US,2022-01-30 03:11:22,overcast clouds
226,Richards Bay,-28.783,32.0377,68.7,88,3,2.19,ZA,2022-01-30 03:11:22,clear sky
227,Port Hueneme,34.1478,-119.1951,64.78,28,0,0.0,US,2022-01-30 03:12:22,clear sky
228,Deputatskiy,69.3,139.9,-19.97,98,95,2.1,RU,2022-01-30 03:12:23,overcast clouds
229,Sinnamary,5.3833,-52.95,75.69,87,21,7.25,GF,2022-01-30 03:12:23,few clouds
230,Pisco,-13.7,-76.2167,69.85,83,20,9.22,PE,2022-01-30 03:12:24,few clouds
231,Half Moon Bay,37.4636,-122.4286,56.88,73,0,3.0,US,2022-01-30 03:12:24,clear sky
232,Santa Barbara,34.7333,-120.0343,52.36,57,0,0.0,US,2022-01-30 03:12:24,clear sky
233,Boden,65.8252,21.6886,17.6,83,100,12.33,SE,2022-01-30 03:12:26,overcast clouds
234,Beira,-19.8436,34.8389,77.76,77,42,4.7,MZ,2022-01-30 03:12:27,scattered clouds
235,Kingsland,30.8,-81.6898,39.22,80,0,4.16,US,2022-01-30 03:12:27,clear sky
236,Williston,48.147,-103.618,25.21,97,22,2.17,US,2022-01-30 03:12:27,few clouds
237,Mokhsogollokh,61.4681,128.9203,-13.56,95,90,2.57,RU,2022-01-30 03:12:29,overcast clouds
238,Bambous Virieux,-20.3428,57.7575,82.22,71,99,14.0,MU,2022-01-30 03:12:29,overcast clouds
239,Avera,33.194,-82.5271,35.47,35,0,8.23,US,2022-01-30 03:12:30,clear sky
240,Lorengau,-2.0226,147.2712,83.55,73,39,8.08,PG,2022-01-30 03:12:30,scattered clouds
241,Faya,18.3851,42.4509,50.52,85,7,3.87,SA,2022-01-30 03:12:31,clear sky
242,Maningrida,-12.0667,134.2667,81.23,82,100,17.4,AU,2022-01-30 03:12:31,light rain
243,Ponta Do Sol,32.6667,-17.1,63.23,46,7,5.37,PT,2022-01-30 03:12:32,clear sky
244,Torquay,50.4638,-3.5143,40.57,75,32,8.01,GB,2022-01-30 03:12:32,scattered clouds
245,Ostrovnoy,68.0531,39.5131,17.35,92,100,10.11,RU,2022-01-30 03:12:32,light snow
246,Severo-Kurilsk,50.6789,156.125,24.94,86,100,14.0,RU,2022-01-30 03:12:32,light snow
247,Fortuna,40.5982,-124.1573,49.66,89,0,0.0,US,2022-01-30 03:12:33,clear sky
248,Sitka,57.0531,-135.33,35.49,87,100,10.36,US,2022-01-30 03:10:41,light snow
249,Huarmey,-10.0681,-78.1522,70.63,84,56,8.68,PE,2022-01-30 03:12:33,broken clouds
250,Kedrovyy,56.1667,91.8167,-14.39,94,68,3.24,RU,2022-01-30 03:12:34,broken clouds
251,Ilulissat,69.2167,-51.1,10.42,61,40,25.32,GL,2022-01-30 03:12:34,light shower snow
252,Saint-Philippe,-21.3585,55.7679,78.39,80,84,8.43,RE,2022-01-30 03:12:35,broken clouds
253,Monteiro,-7.8894,-37.12,67.21,90,100,4.34,BR,2022-01-30 03:12:35,overcast clouds
254,Mount Isa,-20.7333,139.5,83.97,70,100,16.11,AU,2022-01-30 03:12:35,overcast clouds
255,Nabire,-3.3667,135.4833,86.11,62,100,4.56,ID,2022-01-30 03:12:36,overcast clouds
256,Villa Maria,-32.4075,-63.2402,63.82,82,0,8.23,AR,2022-01-30 03:12:36,clear sky
257,Kibaha,-6.7667,38.9167,71.33,99,100,2.46,TZ,2022-01-30 03:12:37,light rain
258,Koslan,63.4564,48.8989,11.79,97,97,4.9,RU,2022-01-30 03:12:38,overcast clouds
259,Kavaratti,10.5669,72.642,81.16,70,97,8.72,IN,2022-01-30 03:12:38,overcast clouds
260,Harlingen,26.1906,-97.6961,57.2,66,0,4.61,US,2022-01-30 03:10:29,clear sky
